Reference,Value,Part Number
C1,10u,C1206X5R106K500NT
C2,0.1u,TCC0603X7R104K500CT
C3,0.1u,TCC0603X7R104K500CT
C4,10u,C1206X5R106K500NT
C5,500p,TCC0603X7R501K500CT
C6,0.1u,TCC0603X7R104K500CT
C7,10u,C1206X5R106K500NT
C8,500p,TCC0603X7R501K500CT
C9,0.1u,TCC0603X7R104K500CT
C10,0.1u,TCC0603X7R104K500CT
C11,0.1u,TCC0603X7R104K500CT
C12,0.1u,TCC0603X7R104K500CT
C13,10u,C1206X5R106K500NT
C14,10u,C1206X5R106K500NT
C15,1n,CL10C102JB8NNNC
C16,150p,TCC0603X7R151K500CT
C17,0.1u,TCC0603X7R104K500CT
C18,10u,C1206X5R106K500NT
C19,10u,C1206X5R106K500NT
C20,10u,C1206X5R106K500NT
C21,4.7u,CS2012X5R475K500NRE
C22,4.7u,CS2012X5R475K500NRE
C23,0.1u,TCC0603X7R104K500CT
C24,0.1u,TCC0603X7R104K500CT
C25,0.1u,TCC0603X7R104K500CT
C26,0.1u,TCC0603X7R104K500CT
C27,0.1u,TCC0603X7R104K500CT
D1,1N4007,1N4007W
D2,1N4007,1N4007W
D3,1N4007,1N4007W
D4,1N4007,1N4007W
D5,1N4007,1N4007W
D6,1N4007,1N4007W
D7,LED,XL-1608UBC-04
D8,1N4007,1N4007W
HS1,Heatsink,ATS2132-ND
IC1,EFM8BB31F16G-D-QFN24R,efm8bb3
L1,1.5u,MCS0630-1R5MN2
L2,1.5u,MCS0630-1R5MN2
L3,6.8u,SCCD54-6R8MT
L4,0.68u,CIGT201610LMR68MNE
L5,50u,GCDA0650-470MC
L6,6.8u,SCCD54-6R8MT
L7,28u,SLO0630H330MTT
L8,0.68u,CIGT201610LMR68MNE
L9,6.8u,SCCD54-6R8MT
L10,3.3u,SCCD43-3R3MT
L11,3.3u,SCCD43-3R3MT
L12,3.3u,SCCD43-3R3MT
Q1,2N3904,PZT3904
Q2,TIP41C,TIP41C
Q3,2N3904,PZT3904
Q4,TIP41C,TIP41C
R1,6k,RN1/2WS6.04KFT/BA1
R2,0.1,SY2512CFR100
R3,0.05,SY2512CFR050
R4,0.1,SY2512CFR100
R6,2.7k,MFR01SF2701A10
R7,1k,CF1/6W-1K±5%T52
R8,2,RN 1WS 2R2 F T/B A1
R9,1k,CF1/6W-1K±5%T52
R10,0.3,FBF25FP-R300-00L
R11,0.44,CR2512FR430E04R
R12,1k,CF1/6W-1K±5%T52
R13,1k,CF1/6W-1K±5%T52
R14,1k,CF1/6W-1K±5%T52
R15,13k,RS-03K133JT
R16,13k,RS-03K133JT
R17,13k,RS-03K133JT
R18,13k,RS-03K133JT
R19,13k,RS-03K133JT
R20,13k,RS-03K133JT
R21,2,RN 1WS 2R2 F T/B A1
R22,2,RN 1WS 2R2 F T/B A1
R23,2,RN 1WS 2R2 F T/B A1
R24,2,RN 1WS 2R2 F T/B A1
RV1,50k,VG039NCHXTB503
RV2,50k,VG039NCHXTB503
RV3,50k,VG039NCHXTB503
RV4,50k,VG039NCHXTB503
RV5,20k,VG039NCHXTB203
RV6,1k,VG039NCHXTB102
RV7,20k,VG039NCHXTB203
RV8,1k,VG039NCHXTB102
RV9,1k,VG039NCHXTB102
U1,TL084h,Tl084h
U2,TL084h,Tl084h
U3,MC33063AD,MC33063AD
U4,MC33063AD,MC33063AD
U5,LM317,LM317T-DG
U6,pi121u31,pi121U31
