Reference, Value, Datasheet
Q1,TSD5N50MR,TSD5N50MR
Rsense1,0.51 1W,25121WF510LT4E
D6,D,S10MC
D7,D,S10MC
L1,47u,TMPC1265HP-470MG-D
R8,16.9k,TC0350D1692T5E
C4,47n,TCC0603X7R473M500CT
R2,1Meg,HR1206J1M00P05Z
C3,1n,TCC0603X7R102K500CT
R11,10R,RD 1/2WS 10R J T/B A1
U2,ORPC-817C,ORPC-817C
R14,1k,CF1/6W-1K±5%T52
C14,100n,"0603F104M500NT
"
R13,100,CF1/6W-100±5% T52
R10,39k,TC0350B3902T5H
R9,39k,TC0350B3902T5H
D2,20v,BZT52C22
D3,20v,BZT52C22
U5,LM317_SOT-223,LM317T-DG
C16,470n,CL10B474KA8NNNC
C19,100n,"0603F104M500NT
"
R17,39k,TC0350B3902T5H
D8,30v,MM1Z30B
R16,39k,TC0350B3902T5H
C18,100n,"0603F104M500NT
"
U4,MC34072,MC34072G-S08-R
RV2,2.4,VG039NCHXTB503
R15,1k,CF1/6W-1K±5%T52
RV3,2.4,VG039NCHXTB503
RV4,1k,VG039NCHXTB102
U1,NCP5106,NCP5106ADR2G
D1,1N4007W,1N4007W
C5,100n,"0603F104M500NT
"
R6,10,WR06X100JTL
C2,4.7u,01EC0069SHG4.7uF400V
Q2,TSD5N50MR,TSD5N50MR
C17,100n,"0603F104M500NT
"
C1,100n,"0603F104M500NT
"
R4,10,WR06X100JTL
R5,10,WR06X100JTL
R7,10,WR06X100JTL
R1,1Meg,HR1206J1M00P05Z
C6,1n,TCC0603X7R102K500CT
C15,470n,CL10B474KA8NNNC
RV1,5k571,VG039NCHXTB203
C12,1n,TCC0603X7R102K500CT
C9,1n,TCC0603X7R102K500CT
C10,1n,TCC0603X7R102K500CT
C11,1n,TCC0603X7R102K500CT
R3,1k,CF1/6W-1K±5%T52
D4,1N4007W,1N4007W
D5,1N4007W,1N4007W
R18,15k,MO1/2W-15K±5%-XT52
U3,TL431LP,UMWTL431(0.5%)
R12,10R,RD 1/2WS 10R J T/B A1
T1,Transformer_1P_1S,custom
C7,100n,"0603F104M500NT
"
IC1,NCP1252ADR2G,NCP1252ADR2G
C8,100n,"0603F104M500NT
"
C13,10u,C1206X5R106K500NT
C20,10u,C1206X5R106K500NT
C21,10u,C1206X5R106K500NT
C22,10u,C1206X5R106K500NT
C23,10u,C1206X5R106K500NT
