Reference, Value, Datasheet
D1,hp,GBJ2510
Cisf1,1000p,"TCC0603X7R102K500CT
"
L1,9u,"CPV-PQ20/16-1S-14P-Z
"
D2,BYC15-600PQ,"BYC15-600PQ
"
C5,47u,EGD2WM470L25OT
C2,470n,C1812X474K451T
Rgs1,13k,"RS-03K133JT
"
D3,1N4007W,"1N4007W
"
R11,13,ARG03FTC0130
Q1,AOT190A60CL,AOT190A60CL
C1,470n,C1812X474K451T
C11,470n,C1812X474K451T
Ris3,0.08,"RLP25FEER080
"
Ris2,0.08,"RLP25FEER080
"
Ris1,0.08,"RLP25FEER080
"
Rout1,51,"CF1/4W-515%T52
"
C3,220p,NV1206B221K102CEDN
Rout2,51,"CF1/4W-515%T52
"
C6,220p,NV1206B221K102CEDN
C7,47u,EGD2WM470L25OT
C9,47u,EGD2WM470L25OT
C10,47u,EGD2WM470L25OT
Risf1,51,"CF1/4W-515%T52
"
Risf2,51,"CF1/4W-515%T52
"
U1,AP3917B,AP3917BS7-13
R3,5.6k,"MF1/8W-5.6K1%T52
"
R5,22k1,"MO1/4W-22K5%-ST52
"
R6,22k1,"MO1/4W-22K5%-ST52
"
C22,150u,"TY1571EMD115RB
"
L3,1m,"YNR6045-102M
"
D5,1N4007W,"1N4007W
"
L2,1m,"YNR6045-102M
"
C14,4u7,"01EC0069SHG4.7uF400V
"
C13,4u7,"01EC0069SHG4.7uF400V
"
D4,lp,ABS10
C21,0u47,CL10B474KA8NNNC
D6,1N4007W,"1N4007W
"
R1,10,"KNP2W-105% T
"
C18,0u47,CL10B474KA8NNNC
C17,0u47,CL10B474KA8NNNC
C16,0u47,CL10B474KA8NNNC
C15,0u47,CL10B474KA8NNNC
C20,220p,NV1206B221K102CEDN
C19,220p,NV1206B221K102CEDN
R2,22k1,"MO1/4W-22K5%-ST52
"
R4,5.6k,"MF1/8W-5.6K1%T52
"
R8,82k,MO3W-82K5%-QT73
R7,82k,MO3W-82K5%-QT73
Reo1,39k,TC0350B3902T5H
Ceo1,0u47,CL10B474KA8NNNC
Ceo2,0u1,"0603F104M500NT
"
C4,22u,22uF 35V 5*7
Rt1,39k,TC0350B3902T5H
U2,bd7692fj,bd7692fj
Rvsh2,1Meg,"HR1206J1M00P05Z
"
Rvsl1,13k,"RS-03K133JT
"
C8,1000p,"TCC0603X7R102K500CT
"
Rvsl2,390k,"RS-03K394JT
"
Rvsh1,1Meg,"HR1206J1M00P05Z
"
Rovph1,1Meg,"HR1206J1M00P05Z
"
Rovph2,1Meg,"HR1206J1M00P05Z
"
C12,1000p,"TCC0603X7R102K500CT
"
Rovpl1,13k,"RS-03K133JT
"
R9,13,ARG03FTC0130
R10,13,ARG03FTC0130
L4,22u,TMPC1206HP-220MG-D
L5,22u,TMPC1206HP-220MG-D
C25,100n,NM1206B104K451CEGN
C24,100n,NM1206B104K451CEGN
C26,100n,NM1206B104K451CEGN
C23,100n,NM1206B104K451CEGN
